date,promotion,match_type,match_card,match_event
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=16006&amp;name=Wardlow"">Wardlow</a> defeats <a href=""?id=2&amp;nr=21060&amp;name=The+Butcher+++++"">The Butcher</a> (4:20)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> defeats <a href=""?id=2&amp;nr=20642&amp;name=Daniel+Garcia"">Daniel Garcia</a> (11:22)","<a href=""?id=1&amp;nr=336638"">AEW Rampage #38</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=1062&amp;name=Lance+Archer"">Lance Archer</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a> (0:33)","<a href=""?id=1&amp;nr=336638"">AEW Rampage #38</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=6959&amp;name=John+Silver"">John Silver</a> defeats <a href=""?id=2&amp;nr=18137&amp;name=Vince+Valor"">Vince Valor</a> (1:29)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=13073&amp;name=Konosuke+Takeshita"">Konosuke Takeshita</a> defeats <a href=""?id=2&amp;nr=4767&amp;name=Brandon+Cutler"">Brandon Cutler</a> (4:57)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> defeats <a href=""?id=2&amp;nr=24024&amp;name=Julia+Hart"">Julia Hart</a> (6:19)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=1297&amp;name=Minoru+Suzuki"">Minoru Suzuki</a> defeats <a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a> (4:12)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=10334&amp;name=Penta+Oscuro"">Penta Oscuro</a> defeats <a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> (4:45)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a>, <a href=""?id=2&amp;nr=12698&amp;name=Ruby+Soho"">Ruby Soho</a> &amp; <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a> defeat <a href=""?id=2&amp;nr=4629&amp;name=Emi+Sakura"">Emi Sakura</a>, <a href=""?id=2&amp;nr=17025&amp;name=Nyla+Rose"">Nyla Rose</a> &amp; <a href=""?id=2&amp;nr=5376&amp;name=The+Bunny++"">The Bunny</a> (6:35)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=20186&amp;name=Alan+Angels"">Alan Angels</a>, <a href=""?id=2&amp;nr=6215&amp;name=Alex+Reynolds"">Alex Reynolds</a>, <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a>, <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a> &amp; <a href=""?id=2&amp;nr=20399&amp;name=Ten"">Ten</a>) defeat <a href=""?id=2&amp;nr=20263&amp;name=Bulk+Nasty"">Bulk Nasty</a>, <a href=""?id=2&amp;nr=7040&amp;name=Jake+Omen"">Jake Omen</a>, <a href=""?id=2&amp;nr=171&amp;name=Luther"">Luther</a>, <a href=""?id=2&amp;nr=20835&amp;name=RC+Dupree"">RC Dupree</a> &amp; Tito Oric (3:09)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
