date,promotion,match_type,match_card,match_event
2021-09-05,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> (c) defeats <a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> (11:35)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a> Steel Cage: ","<a href=""?id=28&amp;nr=7400&amp;name=The+Lucha+Brothers"">The Lucha Brothers</a> (<a href=""?id=2&amp;nr=10334&amp;name=Penta+El+Zero+Miedo"">Penta El Zero Miedo</a> &amp; <a href=""?id=2&amp;nr=10343&amp;name=Rey+Fenix++"">Rey Fenix</a>) defeat <a href=""?id=28&amp;nr=1030&amp;name=The+Young+Bucks"">The Young Bucks</a> (<a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) (c) (22:04) - <span class=""MatchTitleChange"">TITLE CHANGE !!!</span>","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a>: ","<a href=""?id=2&amp;nr=2906&amp;name=Kenny+Omega"">Kenny Omega</a> (c) defeats <a href=""?id=2&amp;nr=820&amp;name=Christian+Cage"">Christian Cage</a> (21:19)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,Casino Battle Royale: ,"<a href=""?id=2&amp;nr=12698&amp;name=Ruby+Soho"">Ruby Soho</a> defeats <a href=""?id=2&amp;nr=22620&amp;name=Abadon++"">Abadon</a> and <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a> and <a href=""?id=2&amp;nr=17970&amp;name=Big+Swole"">Big Swole</a> and <a href=""?id=2&amp;nr=8526&amp;name=Diamante+++++"">Diamante</a> and <a href=""?id=2&amp;nr=4629&amp;name=Emi+Sakura"">Emi Sakura</a> and <a href=""?id=2&amp;nr=9462&amp;name=Hikaru+Shida"">Hikaru Shida</a> and <a href=""?id=2&amp;nr=23445&amp;name=Jade+Cargill"">Jade Cargill</a> and <a href=""?id=2&amp;nr=18784&amp;name=Jamie+Hayter"">Jamie Hayter</a> and <a href=""?id=2&amp;nr=17786&amp;name=Kiera+Hogan"">Kiera Hogan</a> and <a href=""?id=2&amp;nr=20584&amp;name=KiLynn+King"">KiLynn King</a> and <a href=""?id=2&amp;nr=20630&amp;name=Leyla+Hirsch"">Leyla Hirsch</a> and <a href=""?id=2&amp;nr=17025&amp;name=Nyla+Rose"">Nyla Rose</a> and <a href=""?id=2&amp;nr=17027&amp;name=Penelope+Ford"">Penelope Ford</a> and <a href=""?id=2&amp;nr=14663&amp;name=Rebel++++"">Rebel</a> and <a href=""?id=2&amp;nr=22271&amp;name=Red+Velvet"">Red Velvet</a> and <a href=""?id=2&amp;nr=9434&amp;name=Riho"">Riho</a> and <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a> and <a href=""?id=2&amp;nr=18241&amp;name=Tay+Conti"">Tay Conti</a> and <a href=""?id=2&amp;nr=5376&amp;name=The+Bunny++"">The Bunny</a> and <a href=""?id=2&amp;nr=16209&amp;name=Thunder+Rosa"">Thunder Rosa</a> (21:56)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,The Final Fight: ,"<a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a> defeats <a href=""?id=2&amp;nr=17012&amp;name=MJF"">MJF</a> (19:36)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-05-30,All Elite Wrestling,,"<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> defeats <a href=""?id=2&amp;nr=4823&amp;name=Brian+Cage"">Brian Cage</a> (12:07)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,,"<a href=""?id=2&amp;nr=3686&amp;name=Cody+Rhodes"">Cody Rhodes</a> defeats <a href=""?id=2&amp;nr=23823&amp;name=Anthony+Ogogo"">Anthony Ogogo</a> (10:32)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=263&amp;name=Sting"">Sting</a> defeat <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> &amp; <a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a> (14:05)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=10610&amp;name=Miro"">Miro</a> (c) defeats <a href=""?id=2&amp;nr=1062&amp;name=Lance+Archer"">Lance Archer</a> by referee's decision (10:46)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> defeats <a href=""?id=2&amp;nr=9462&amp;name=Hikaru+Shida"">Hikaru Shida</a> (c) (16:22) - <span class=""MatchTitleChange"">TITLE CHANGE !!!</span>","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
