date,promotion,match_type,match_card,match_event
2023-05-12,All Elite Wrestling,"<a href=""?id=5&amp;nr=121"">ROH World Title</a> Proving Ground: ","<a href=""?id=2&amp;nr=257&amp;name=Claudio+Castagnoli"">Claudio Castagnoli</a> defeats <a href=""?id=2&amp;nr=20065&amp;name=Brian+Pillman+Jr."">Brian Pillman Jr.</a>","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=29&amp;nr=3139&amp;name=Blackpool+Combat+Club"">Blackpool Combat Club</a> (<a href=""?id=2&amp;nr=257&amp;name=Claudio+Castagnoli"">Claudio Castagnoli</a> &amp; <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a>) defeat <a href=""?id=29&amp;nr=3311&amp;name=The+Firm"">The Firm</a> (<a href=""?id=2&amp;nr=11618&amp;name=Big+Bill"">Big Bill</a> &amp; <a href=""?id=2&amp;nr=19517&amp;name=Lee+Moriarty"">Lee Moriarty</a>) (21:18)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=28&amp;nr=8381&amp;name=The+Butcher+And+The+Blade"">The Butcher And The Blade</a> (<a href=""?id=2&amp;nr=4307&amp;name=The+Blade+++++"">The Blade</a> &amp; <a href=""?id=2&amp;nr=21060&amp;name=The+Butcher+++++"">The Butcher</a>) (10:39)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> defeats <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay+AS"">Anna Jay AS</a> (10:49)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> defeats <a href=""?id=2&amp;nr=22365&amp;name=Shawn+Dean"">Shawn Dean</a> (2:34)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> defeats <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> (9:14)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=564&amp;name=Jeff+Jarrett"">Jeff Jarrett</a> defeats <a href=""?id=2&amp;nr=20065&amp;name=Brian+Pillman+Jr."">Brian Pillman Jr.</a> (10:01)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a> defeats <a href=""?id=2&amp;nr=3463&amp;name=Pat+Buck"">Pat Buck</a> (10:13)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,,"<a href=""?id=2&amp;nr=12698&amp;name=Ruby+Soho"">Ruby Soho</a> defeats <a href=""?id=2&amp;nr=18330&amp;name=HollyHood+Haley"">HollyHood Haley</a> (3:02)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2023-03-18,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> (c) defeats <a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a> (10:37)","<a href=""?id=1&amp;nr=360935"">AEW House Rules Tour</a> - House Show @ Hobart Arena in Troy, Ohio, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=28&amp;nr=5164&amp;name=Best+Friends"">Best Friends</a> (<a href=""?id=2&amp;nr=3828&amp;name=Chuck+Taylor"">Chuck Taylor</a> &amp; <a href=""?id=2&amp;nr=2963&amp;name=Trent"">Trent</a>) &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=28&amp;nr=4939&amp;name=The+Hybrid2"">The Hybrid2</a> (<a href=""?id=2&amp;nr=8047&amp;name=Angelico"">Angelico</a> &amp; <a href=""?id=2&amp;nr=842&amp;name=Jack+Evans"">Jack Evans</a>) &amp; <a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> (11:10)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2678&amp;name=Death+Triangle"">Death Triangle</a> (<a href=""?id=2&amp;nr=3497&amp;name=PAC"">PAC</a>, <a href=""?id=2&amp;nr=10334&amp;name=Penta+El+Zero+Miedo"">Penta El Zero Miedo</a> &amp; <a href=""?id=2&amp;nr=10343&amp;name=Rey+Fenix++"">Rey Fenix</a>), <a href=""?id=2&amp;nr=1065&amp;name=Matt+Sydal"">Matt Sydal</a> &amp; <a href=""?id=2&amp;nr=8265&amp;name=Mike+Sydal"">Mike Sydal</a> defeat <a href=""?id=28&amp;nr=1030&amp;name=The+Young+Bucks"">The Young Bucks</a> (<a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>), <a href=""?id=2&amp;nr=2906&amp;name=Kenny+Omega"">Kenny Omega</a>, <a href=""?id=2&amp;nr=13073&amp;name=Konosuke+Takeshita"">Konosuke Takeshita</a> &amp; <a href=""?id=2&amp;nr=5475&amp;name=Michael+Nakazawa"">Michael Nakazawa</a> (12:25)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> defeats <a href=""?id=2&amp;nr=16194&amp;name=Cezar+Bononi"">Cezar Bononi</a> (9:20)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=2&amp;nr=9462&amp;name=Hikaru+Shida"">Hikaru Shida</a>, <a href=""?id=2&amp;nr=22271&amp;name=Red+Velvet"">Red Velvet</a>, <a href=""?id=2&amp;nr=8562&amp;name=Ryo+Mizunami"">Ryo Mizunami</a> &amp; <a href=""?id=2&amp;nr=18241&amp;name=Tay+Conti"">Tay Conti</a> defeat <a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a>, <a href=""?id=2&amp;nr=17025&amp;name=Nyla+Rose"">Nyla Rose</a>, <a href=""?id=2&amp;nr=14663&amp;name=Rebel++++"">Rebel</a> &amp; <a href=""?id=2&amp;nr=5376&amp;name=The+Bunny++"">The Bunny</a> (14:00)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=2&amp;nr=23445&amp;name=Jade+Cargill"">Jade Cargill</a> defeats <a href=""?id=2&amp;nr=23792&amp;name=Reka+Tehaka"">Reka Tehaka</a> (3:30)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2902&amp;name=The+Pinnacle"">The Pinnacle</a> (<a href=""?id=2&amp;nr=7159&amp;name=Cash+Wheeler"">Cash Wheeler</a>, <a href=""?id=2&amp;nr=12068&amp;name=Dax+Harwood"">Dax Harwood</a>, <a href=""?id=2&amp;nr=17012&amp;name=MJF"">MJF</a> &amp; <a href=""?id=2&amp;nr=3190&amp;name=Shawn+Spears"">Shawn Spears</a>) defeat <a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a>, <a href=""?id=2&amp;nr=20610&amp;name=Dante+Martin"">Dante Martin</a> &amp; <a href=""?id=28&amp;nr=8746&amp;name=The+Jurassic+Express"">The Jurassic Express</a> (<a href=""?id=2&amp;nr=18237&amp;name=Jungle+Boy+"">Jungle Boy</a> &amp; <a href=""?id=2&amp;nr=11924&amp;name=Luchasaurus"">Luchasaurus</a>) (14:30)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> (c) defeats <a href=""?id=2&amp;nr=21060&amp;name=The+Butcher+++++"">The Butcher</a> (8:18)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a> #1 Contendership 15 Man Battle Royal: ","<a href=""?id=2&amp;nr=21060&amp;name=The+Butcher+++++"">The Butcher</a> defeats <a href=""?id=2&amp;nr=6215&amp;name=Alex+Reynolds"">Alex Reynolds</a> and <a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a> and <a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a> and <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a> and <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> and <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> and <a href=""?id=2&amp;nr=20186&amp;name=Five"">Five</a> and <a href=""?id=2&amp;nr=1062&amp;name=Lance+Archer"">Lance Archer</a> and <a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> and <a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a> and <a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a> and <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a> and <a href=""?id=2&amp;nr=20399&amp;name=Ten"">Ten</a> and <a href=""?id=2&amp;nr=4307&amp;name=The+Blade+++++"">The Blade</a> (8:48)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
2021-04-09,All Elite Wrestling,Duuuval Street Fight: ,"<a href=""?id=2&amp;nr=3686&amp;name=Cody+Rhodes"">Cody Rhodes</a> defeats <a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solow"">Aaron Solow</a> (15:47)","<a href=""?id=1&amp;nr=306901"">AEW The House Always Wins</a> - House Show @ Daily's Place in Jacksonville, Florida, USA"
