,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
78,2021-11-17,All Elite Wrestling,False,Jade Cargill,,Red Velvet,,,,540,"Chartaway Arena in Norfolk, Virginia, USA",AEW Rampage #16,female
79,2021-11-12,All Elite Wrestling,False,Dante Martin,,Ariya Daivari,,,,333,"Target Center in Minneapolis, Minnesota, USA",AEW Rampage #15,male
80,2021-11-12,All Elite Wrestling,False,Jade Cargill,,Santana Garrett,,,,119,"Target Center in Minneapolis, Minnesota, USA",AEW Rampage #15,female
81,2021-11-12,All Elite Wrestling,False,Jungle Boy,,Bobby Fish,,,,614,"Target Center in Minneapolis, Minnesota, USA",AEW Rampage #15,male
82,2021-11-12,All Elite Wrestling,False,Matt Hardy,,Orange Cassidy,,,,625,"Target Center in Minneapolis, Minnesota, USA",AEW Rampage #15,male
83,2021-11-05,All Elite Wrestling,False,Adam Cole,,John Silver,,,,663,"Chaifetz Arena in St. Louis, Missouri, USA",AEW Rampage #14,male
84,2021-11-05,All Elite Wrestling,False,Bryan Danielson,,Anthony Bowens,,,,544,"Chaifetz Arena in St. Louis, Missouri, USA",AEW Rampage #14,male
85,2021-11-05,All Elite Wrestling,False,Red Velvet,,The Bunny,,,,214,"Chaifetz Arena in St. Louis, Missouri, USA",AEW Rampage #14,female
86,2021-10-27,All Elite Wrestling,False,Dante Martin,,Matt Sydal,,,,658,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #13,male
87,2021-10-27,All Elite Wrestling,False,Bryan Danielson,,Eddie Kingston,,,,983,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #13,male
88,2021-10-27,All Elite Wrestling,False,Dr. Britt Baker DMD,,Abadon,,,,447,"Agganis Arena in Boston, Massachusetts, USA",AEW Rampage #13,female
89,2021-10-16,All Elite Wrestling,False,Dr. Britt Baker DMD,,Anna Jay,,,,406,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #12,female
90,2021-10-16,All Elite Wrestling,False,PAC,,Andrade El Idolo,,,,980,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #12,male
91,2021-10-16,All Elite Wrestling,False,Orange Cassidy,,Powerhouse Hobbs,,,,492,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #12,male
92,2021-10-15,All Elite Wrestling,False,CM Punk,,Matt Sydal,,,,887,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #11,male
93,2021-10-15,All Elite Wrestling,False,"Ethan Page,Scorpio Sky",Men Of The Year,"Chris Jericho,Jake Hager,Sammy Guevara",The Inner Circle,,,689,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #11,male
94,2021-10-15,All Elite Wrestling,False,Ruby Soho,,The Bunny,,,,589,"James L. Knight Center in Miami, Florida, USA",AEW Rampage #11,female
95,2021-10-15,All Elite Wrestling,False,Bobby Fish,,Lee Moriarty,,,,477,"James L. Knight Center in Miami, Florida, USA",AEW Rampage - The Buy In,male
96,2021-10-15,All Elite Wrestling,False,Bryan Danielson,,Minoru Suzuki,,,,1158,"James L. Knight Center in Miami, Florida, USA",AEW Rampage - The Buy In,male
97,2021-10-15,All Elite Wrestling,False,Tay Conti,,Santana Garrett,,,,282,"James L. Knight Center in Miami, Florida, USA",AEW Rampage - The Buy In,female
98,2021-10-06,All Elite Wrestling,False,CM Punk,,Daniel Garcia,,,,845,"Liacouras Center in Philadelphia, Pennsylvania, USA",AEW Rampage #10,male
99,2021-10-06,All Elite Wrestling,False,Jade Cargill,,Skye Blue,,,,62,"Liacouras Center in Philadelphia, Pennsylvania, USA",AEW Rampage #10,female
100,2021-10-06,All Elite Wrestling,False,"Penta El Zero Miedo,Rey Fenix",The Lucha Brothers,"Anthony Bowens,Max Caster",The Acclaimed,,,316,"Liacouras Center in Philadelphia, Pennsylvania, USA",AEW Rampage #10,male
101,2021-10-06,All Elite Wrestling,False,Ricky Starks,,Brian Cage,,,,640,"Liacouras Center in Philadelphia, Pennsylvania, USA",AEW Rampage #10,male
102,2021-09-29,All Elite Wrestling,False,Bryan Danielson,,Nick Jackson,,,,935,"Blue Cross Arena in Rochester, New York, USA",AEW Rampage #9,male
103,2021-09-29,All Elite Wrestling,False,Orange Cassidy,,Jack Evans,,,,544,"Blue Cross Arena in Rochester, New York, USA",AEW Rampage #9,male
104,2021-09-29,All Elite Wrestling,False,Jade Cargill,,"Nyla Rose,Thunder Rosa",,,,546,"Blue Cross Arena in Rochester, New York, USA",AEW Rampage #9,female
105,2021-09-22,All Elite Wrestling,False,CM Punk,,Powerhouse Hobbs,,,,815,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,male
106,2021-09-22,All Elite Wrestling,False,"Ethan Page,Scorpio Sky",Men Of The Year,"Chris Jericho,Jake Hager",The Inner Circle,,,661,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,male
107,2021-09-22,All Elite Wrestling,False,Penelope Ford,,Anna Jay,,,,408,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,female
108,2021-09-22,All Elite Wrestling,False,"Ortiz,Santana,Penta El Zero Miedo,Rey Fenix","The Inner Circle,The Lucha Brothers","Isiah Kassidy,Marq Quen,The Blade,The Butcher",The Hardy Family Office,,,583,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,male
109,2021-09-22,All Elite Wrestling,False,"Adam Cole,Matt Jackson,Nick Jackson",The SuperKliq,"Jungle Boy,Luchasaurus",The Jurassic Express,,,878,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,male
110,2021-09-22,All Elite Wrestling,False,"Eddie Kingston,Jon Moxley",,"Lance Archer,Minoru Suzuki",Suzuki-gun,,,910,"Arthur Ashe Stadium in New York City, New York, USA",AEW Rampage #7+8 - Grand Slam,male
111,2021-09-15,All Elite Wrestling,False,Anna Jay,,The Bunny,,,,419,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #6,female
112,2021-09-15,All Elite Wrestling,False,Miro,,Fuego Del Sol,,,,538,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #6,male
