id,name,rating,current_gimmick,age,promotion,brand,active_roles,birthplace,gender,height,weight,www,alter_egos,roles,debut,experience,wrestling_style,nicknames,signature_moves,trainer,background,career_end,day_of_death,active
2620,Shelly Martinez,6.48,,,,,,"Chino, California, USA",female,65.0,134.0,https://www.shellymartinez.net/;https://www.facebook.com/shellyfromcali;https://twitter.com/shellyfromcali;https://www.instagram.com/shellyfromcali/,"Ariel,Vampira,Cle-Ho-Patra,Desire,Halloween Barbie,Salinas,Shelly Martinez,Shelly,Siren","Singles Wrestler,Valet",12.2000,18.0,Allrounder,The Jewel Of The Nile,"Casadora Bulldog,Shell Shock,Tornado DDT","Ron Rivera, Martin Marin, OVW School",,2018,,False
1769,TJ Dalton,,,,,,,"Dalton, Missouri, USA",male,73.0,209.0,https://myspace.com/tjdalton,TJ Dalton,Singles Wrestler,2003,4.0,Techniker,,The Remix,Les Thatcher,,2007,,False
754,Francine,7.21,,,,,,"Bear, Delaware, USA",female,67.0,117.0,https://twitter.com/ecwdivafrancine;https://www.youtube.com/channel/UCvDjOEnQxJ5wvwy6HQrVeaA,Francine,"Singles Wrestler,Manager,Referee,On-Air Official,Valet",1993,15.0,,"The Head Cheerleader,The Queen Of Extreme","Bronco Buster,DDT",JT Smith,,06.2008,,False
2035,Dawg Cheetum,,Dawg Cheetum,,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Austin, Texas, USA",male,72.0,233.0,,"Dawg Cheetum,Dog,Psycho Simpson,Psycho The Death,Russell Simpson,Skull Manson","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",2000,22.0,,,,,,,,False
3496,Jaykus Plisken,5.0,Jaykus Plisken,40.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","San Antonio, Texas, USA",male,,,http://www.myspace.com/jplisken;https://www.facebook.com/jaykus.plisken,"Bio-Hazard,Jaykus,Jaykus Plisken,Jacus Plisken,John Blitzen","Singles Wrestler,Tag Team Wrestler,WWE Development Wrestler",,,,,,Rudy Boy Gonzales,,,,False
3902,Lawrence Tyler,,Lawrence Tyler,44.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Putnam Valley, New York, USA",male,70.0,224.0,http://www.facebook.com/lawrence.moccioboyer,Lawrence Tyler,"Singles Wrestler,Tag Team Wrestler",2002,20.0,,XXX,"Flipping Neckbreaker,Reverse Painkiller","Derek Neikirk, Mike Knox & Navajo Warrior",,,,False
1572,Scott Fowler,,,,,,,"Frederick, Maryland, USA",male,75.0,213.0,,"Doc,Scott Fowler",Singles Wrestler,05.1999,23.0,"Techniker,High Flyer",The Solution,The Big Hit,John Rambo,,,,False
4670,Alex Sage,,,,,,,"Virginia, USA",male,,,,Alex Sage,"Singles Wrestler,Tag Team Wrestler",,,,The Sinsation,Sin Spike,,,,,False
2905,Chris Escobar,,,,,,,"Newport News, Virginia, USA",male,70.0,180.0,http://chrisescobar.com;http://www.myspace.com/chrisescobar,Chris Escobar,"Singles Wrestler,Tag Team Wrestler",2001,16.0,High Flyer,"Highflyin',Pure Talent,Superstar",,,,2017,,False
776,Derrick King,,Derrick King,45.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Memphis, Tennessee, USA",male,70.0,200.0,https://twitter.com/derricking1;http://www.facebook.com/derrick.king.520,"Derek Taylor,Derrick King,Spider-Man","Singles Wrestler,Tag Team Wrestler",,,Techniker,,DK-Factor,,,,,False
