date,promotion,event_type,arena,location,event_name,event_id,match_type,match_length,participant_count,title_ids,title_names,title_change,winner_ids,winner_names,winning_team_ids,winning_team_names,loser_ids,loser_names,losing_team_ids,losing_team_names,drawer_ids,drawer_names,drawing_team_ids,drawing_team_names,gender
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,,447.0,6,,,False,"86,3940,19733","Bryan Danielson,Jon Moxley,Wheeler Yuta",3139,Blackpool Combat Club,"8047,4307,21060","Angelico,The Blade,The Butcher",2914,AFO,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,154.0,2,,,False,6959,John Silver,,,15749,Tony Deppen,,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,393.0,4,,,False,"20065,18858","Brian Pillman Jr.,Griff Garrison",9709,The Varsity Blonds,"8745,18677","Anthony Henry,JD Drake",7831,The WorkHorsemen,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,19517,Lee Moriarty,,,20186,Alan Angels,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,20328,Kris Statlander,,,24714,Avery Breaux,,,,,,,female
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,23823,Anthony Ogogo,,,18930,Trenton Storm,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,23597,AQA,,,24646,Brittany Jade,,,,,,,female
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,251.0,2,,,False,5741,Tony Nese,,,21895,Leon Ruffin,,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,360.0,2,,,False,20610,Dante Martin,,,18198,Invictus Khash,,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,235.0,4,,,False,"12277,14007","Powerhouse Hobbs,Ricky Starks",2776,Team Taz,"-1,-1","Jay Lucas,Terry Yaki",,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,230.0,2,,,False,3190,Shawn Spears,,,22001,Lord Crewe,,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,115.0,2,,,False,24024,Julia Hart,,,25075,Jacey Love,,,,,,,female
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,403.0,2,,,False,6959,John Silver,,,10239,Ryan Nemeth,,,,,,,male
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,535.0,2,,,False,8047,Angelico,,,19680,Yuya Uemura,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,-1,Robyn Renegade,,,-1,Vicky Dreamboat,,,,,,,
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,2485,Leva Bates,,,-1,Kiah Dream,,,,,,,female
2022-05-01,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #141,342278,,518.0,2,,,False,15978,Toni Storm,,,8526,Diamante,,,,,,,female
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"254,2963","Rocky Romero,Trent Beretta",5813,Roppongi Vice,"8148,10239","Peter Avalon,Ryan Nemeth",2913,The Wingmen,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,20335,Marina Shafir,,,-1,Layna Lennox,,,,,,,female
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"20024,23125","Austin Gunn,Colten Gunn",2808,The Gunn Club,"22544,24134","Warren Johnson,Zack Mason",,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"9087,18841","Aaron Solo,Nick Comoroto",2915,The Factory,"21519,23592","DKC,Kevin Knight",,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"2397,20399","Evil Uno,Ten",2663,The Dark Order,"16194,17969","Cezar Bononi,Tiger Ruas",,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,22365,Shawn Dean,,,10297,Serpentico,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,14191,Rohit Raju,,,22995,Adam Priest,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,20848,Jora Johl,,,-1,Trip Jordy,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,61,Jay Lethal,,,17694,Jake Something,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"24354,22366","Brock Anderson,Lee Johnson",,,"-1,-1","JCruz,Victor Chase",9730,The Brick City Boyz,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,6215,Alex Reynolds,,,2667,Jake Manning,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,17540,Sonny Kiss,,,23922,Carlie Bravo,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,ROH Pure Title,,2,120,ROH Pure Title,False,19733,Wheeler Yuta,,,17750,Josh Woods,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,2963,Trent Beretta,,,10239,Ryan Nemeth,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,23406,Skye Blue,,,17160,Amber Nova,,,,,,,female
