id,name,rating,name_of_the_event,date,promotion,type,location,arena,broadcast_type,broadcast_date,tv_station/network,commentary_by,attendance,tv_rating
13376,WWE Friday Night SmackDown #419,6.87,WWE Friday Night SmackDown #419,28.08.2007,World Wrestling Entertainment,TV-Show,"Albany, New York, USA",Times Union Center,Taped,31.08.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.3
13266,WWE Friday Night SmackDown #418,5.0,WWE Friday Night SmackDown #418,21.08.2007,World Wrestling Entertainment,TV-Show,"Columbia, South Carolina, USA",The Colonial Center,Taped,24.08.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.2
13106,WWE Friday Night SmackDown #417,5.17,WWE Friday Night SmackDown #417,14.08.2007,World Wrestling Entertainment,TV-Show,"Uncasville, Connecticut, USA",Mohegan Sun Casino,Taped,17.08.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
12988,WWE Friday Night SmackDown #416,4.86,WWE Friday Night SmackDown #416,07.08.2007,World Wrestling Entertainment,TV-Show,"Youngstown, Ohio, USA",Youngstown Convocation Center,Taped,10.08.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
12838,WWE Friday Night SmackDown #415,6.44,WWE Friday Night SmackDown #415,31.07.2007,World Wrestling Entertainment,TV-Show,"Phoenix, Arizona, USA",US Airways Center,Taped,03.08.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
12703,WWE Friday Night SmackDown #414,5.3,WWE Friday Night SmackDown #414,24.07.2007,World Wrestling Entertainment,TV-Show,"Fresno, California, USA",Save Mart Center,Taped,27.07.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.5
12579,WWE Friday Night SmackDown #413,7.56,WWE Friday Night SmackDown #413,17.07.2007,World Wrestling Entertainment,TV-Show,"Laredo, Texas, USA",Laredo Entertainment Center,Taped,20.07.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
12402,WWE Friday Night SmackDown #412,6.44,WWE Friday Night SmackDown #412,10.07.2007,World Wrestling Entertainment,TV-Show,"New Orleans, Louisiana, USA",New Orleans Arena,Taped,13.07.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.7
12304,WWE Friday Night SmackDown #411,5.75,WWE Friday Night SmackDown #411,02.07.2007,World Wrestling Entertainment,TV-Show,"Dallas, Texas, USA",American Airlines Center,Taped,06.07.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
12213,WWE Friday Night SmackDown #410,6.57,WWE Friday Night SmackDown #410,26.06.2007,World Wrestling Entertainment,TV-Show,"San Antonio, Texas, USA",AT&T Center,Taped,29.06.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
12076,WWE Friday Night SmackDown #409,7.17,WWE Friday Night SmackDown #409,19.06.2007,World Wrestling Entertainment,TV-Show,"Charlotte, North Carolina, USA",Bobcats Arena,Taped,22.06.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
11957,WWE Friday Night SmackDown #408,5.0,WWE Friday Night SmackDown #408,12.06.2007,World Wrestling Entertainment,TV-Show,"Philadelphia, Pennsylvania, USA",Wachovia Center,Taped,15.06.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
11776,WWE Friday Night SmackDown #407,7.33,WWE Friday Night SmackDown #407,05.06.2007,World Wrestling Entertainment,TV-Show,"Orlando, Florida, USA",Amway Arena,Taped,08.06.2007,The CW,Michael Cole & John Bradshaw Layfield,,
11657,WWE Friday Night SmackDown #406,7.8,WWE Friday Night SmackDown #406,29.05.2007,World Wrestling Entertainment,TV-Show,"London, Ontario, Canada",John Labatt Centre,Taped,01.06.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
11565,WWE Friday Night SmackDown #405,7.45,WWE Friday Night SmackDown #405,22.05.2007,World Wrestling Entertainment,TV-Show,"Des Moines, Iowa, USA",Wells Fargo Arena,Taped,25.05.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
11391,WWE Friday Night SmackDown #404,6.0,WWE Friday Night SmackDown #404,15.05.2007,World Wrestling Entertainment,TV-Show,"Baltimore, Maryland, USA",First Mariner Arena,Taped,18.05.2007,The CW,John Bradshaw Layfield & Michael Cole,,
11138,WWE Friday Night SmackDown #403,8.24,WWE Friday Night SmackDown #403,08.05.2007,World Wrestling Entertainment,TV-Show,"Pittsburgh, Pennsylvania, USA",Mellon Arena,Taped,11.05.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
11063,WWE Friday Night SmackDown #402,6.85,WWE Friday Night SmackDown #402,01.05.2007,World Wrestling Entertainment,TV-Show,"Birmingham, Alabama, USA",BJCC Arena,Taped,04.05.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
10976,WWE Friday Night SmackDown #401,6.23,WWE Friday Night SmackDown #401,24.04.2007,World Wrestling Entertainment,TV-Show,"London, England, UK",Earl's Court,Taped,27.04.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.6
10787,WWE Friday Night SmackDown #400,7.17,WWE Friday Night SmackDown #400,17.04.2007,World Wrestling Entertainment,TV-Show,"Mailand, Italien",DutchForum,Taped,20.04.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.4
10686,WWE Friday Night SmackDown #399,7.5,WWE Friday Night SmackDown #399,10.04.2007,World Wrestling Entertainment,TV-Show,"Providence, Rhode Island, USA",Dunkin' Donuts Center,Taped,13.04.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.5
10623,WWE Friday Night SmackDown #398,6.4,WWE Friday Night SmackDown #398,03.04.2007,World Wrestling Entertainment,TV-Show,"Fort Wayne, Indiana, USA",Memorial Coliseum,Taped,06.04.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.7
10569,WWE Friday Night SmackDown #397,5.67,WWE Friday Night SmackDown #397,27.03.2007,World Wrestling Entertainment,TV-Show,"Grand Rapids, Michigan, USA",Van Andel Arena,Taped,30.03.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.7
10511,WWE Friday Night SmackDown #396,5.88,WWE Friday Night SmackDown #396,20.03.2007,World Wrestling Entertainment,TV-Show,"Cleveland, Ohio, USA",Quicken Loans Arena,Taped,23.03.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.9
10404,WWE Friday Night SmackDown #395,6.88,WWE Friday Night SmackDown #395,13.03.2007,World Wrestling Entertainment,TV-Show,"Trenton, New Jersey, USA",Sovereign Bank Arena,Taped,16.03.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.9
10349,WWE Friday Night SmackDown #394,7.56,WWE Friday Night SmackDown #394,06.03.2007,World Wrestling Entertainment,TV-Show,"Tucson, Arizona, USA",Tucson Arena,Taped,09.03.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.8
10322,WWE Friday Night SmackDown #393,6.71,WWE Friday Night SmackDown #393,27.02.2007,World Wrestling Entertainment,TV-Show,"San Jose, California, USA",HP Pavilion,Taped,02.03.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.9
10286,WWE Friday Night SmackDown #392,6.38,WWE Friday Night SmackDown #392,20.02.2007,World Wrestling Entertainment,TV-Show,"San Diego, California, USA",ipayOne Center,Taped,23.02.2007,The CW,John Bradshaw Layfield & Michael Cole,,3.3
10167,WWE Friday Night SmackDown #391,6.78,WWE Friday Night SmackDown #391,13.02.2007,World Wrestling Entertainment,TV-Show,"Seattle, Washington, USA",KeyArena,Taped,16.02.2007,The CW,Michael Cole & John Bradshaw Layfield,,3.1
10083,WWE Friday Night SmackDown #390,4.5,WWE Friday Night SmackDown #390,06.02.2007,World Wrestling Entertainment,TV-Show,"Omaha, Nebraska, USA",Qwest Center,Taped,09.02.2007,The CW,Michael Cole & John Bradshaw Layfield,,3
10025,WWE Friday Night SmackDown #389,6.0,WWE Friday Night SmackDown #389,30.01.2007,World Wrestling Entertainment,TV-Show,"Houston, Texas, USA",Toyota Center,Taped,02.02.2007,The CW,Michael Cole & John Bradshaw Layfield,ca. 15.000,3.1
9945,WWE Friday Night SmackDown #388,6.17,WWE Friday Night SmackDown #388,23.01.2007,World Wrestling Entertainment,TV-Show,"Mobile, Alabama, USA",Mobile Civic Center,Taped,26.01.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.6
9889,WWE Friday Night SmackDown #387,7.09,WWE Friday Night SmackDown #387,16.01.2007,World Wrestling Entertainment,TV-Show,"North Little Rock, Arkansas, USA",Alltel Arena,Taped,19.01.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.9
9840,WWE Friday Night SmackDown #386,7.08,WWE Friday Night SmackDown #386,09.01.2007,World Wrestling Entertainment,TV-Show,"Peoria, Illinois, USA",Peoria Civic Center,Taped,12.01.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.6
9707,WWE Friday Night SmackDown #385,7.11,WWE Friday Night SmackDown #385,02.01.2007,World Wrestling Entertainment,TV-Show,"Lakeland, Florida, USA",The Lakeland Center,Taped,05.01.2007,The CW,John Bradshaw Layfield & Michael Cole,,3
9627,WWE Friday Night SmackDown #384,6.33,WWE Friday Night SmackDown #384,19.12.2006,World Wrestling Entertainment,TV-Show,"Hampton, Virginia, USA",Hampton Coliseum,Taped,22.12.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.9
